smiles,Ki,leaked
Brc1cccc(Nc2nc3c(N4CCCC4)ncnc3s2)c1,245.0,False
C#CCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,133.0,False
C#CCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1,4330.0,False
C#CCCCC(=O)Nc1nc2cccc(Cl)c2c2nc(-c3ccco3)nn12,51.0,False
C#CCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,199.0,False
C#CCCCCC#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1,7040.0,False
C#CCCCCC(=O)NCCNC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,75.4,False
C#CCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,151.0,False
C#CCCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,482.0,False
C#CCCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,482.0,False
C#CCCCCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,70.8,False
C#CCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,151.0,False
C#CCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,199.0,False
C#CCCCOc1cc(C)c2c(=O)c(-c3nc(C)cs3)coc2c1,25.12,False
C#CCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,133.0,False
C#CCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,789.0,False
C#CCOc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,10.6,False
C#CCOc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,5.1,False
C#CCn1c(-c2cccc(OCCCCl)c2)nc2c1c(=O)n(CCC)c(=O)n2CCC,278.0,False
C#CCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O,457.09,False
C#CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,446.68,False
C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O,5.38,False
C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,96.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,231.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(C)c1=O,311.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCN(Cc3ccccc3)CC2)n(C)c1=O,628.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCCC2)n(C)c1=O,510.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3CC2CCCO2)n(C)c1=O,1110.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O,346.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(C)c1=O,508.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,1200.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2cccs2)n(C)c1=O,317.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccc(OC)c2)n(C)c1=O,322.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,253.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O,417.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,626.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O,2120.0,False
C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(Br)c2)n(C)c1=O,284.0,False
C#CCn1c(Br)nc2c(N)nc(C#CCCCCCC)nc21,0.56,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,11751.0,True
C#Cc1nc(NOC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,3140.0,False
