smiles,activity
C#CCCCCOc1ccc(CNC(=O)c2nnc(Cc3ccc(F)cc3Cl)o2)cc1,0.0
C#Cc1cccc(CN2CCC3=C(C2)C(=O)N(Cc2ccc(Cl)cc2)C2=NCCN23)c1,1.0
CC(C)(C)c1ccc(CNC(=O)[C@@H]2CCCN(Cc3cccc(C#N)c3)C2)cc1,0.0
CC(C)CCN1CCn2c1nc(=O)c1c2CCN(Cc2ccccc2)C1,1.0
CC(C)C[C@H]1C(=O)N(Cc2cccc3ccccc23)C[C@@H]2N(C(=O)NCc3ccccc3)CCC(=O)N21,1.0
CC(C)Nc1nc2c(c(=O)n1Cc1ccc(C(F)(F)F)cc1)CN(Cc1ccccc1)CC2,1.0
CC1(C)CCC(NC(=O)[C@@H]2CCCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,0.0
CCCCCCCNC(=O)c1nnc(Cc2ccc(F)cc2Cl)o1,1.0
CCCCNC(=O)N1CCC(=O)N2[C@@H]([C@@H](C)CC)C(=O)N(Cc3cccc4ccccc34)C[C@H]12,1.0
CCN1CCc2[nH]c(NCc3ccccc3)nc(=O)c2C1,0.0
CCN1CCc2c(c(=O)nc3n2CCN3Cc2ccccc2C)C1,0.0
CCN1CCn2c1nc(=O)c1c2CCN(Cc2ccccc2)C1,0.0
CCNc1nc(=O)c2c([nH]1)CCN(Cc1ccccc1)C2,0.0
CCNc1nc2c(c(=O)n1Cc1ccc(C(F)(F)F)cc1)CN(Cc1ccccc1)CC2,1.0
CC[C@H](C)C1C(=O)N(Cc2cccc3ccccc23)C[C@@H]2N(C(=O)NCc3c(F)c(F)c(F)c(F)c3F)CCC(=O)N12,0.0
CC[C@H](C)C1C(=O)N(Cc2cccc3ccccc23)C[C@@H]2N(C(=O)NCc3ccc(C(F)(F)F)cc3)CCC(=O)N12,1.0
CC[C@H](C)C1C(=O)N(Cc2cccc3ccccc23)C[C@@H]2N(C(=O)NCc3ccc(F)c(Cl)c3)CCC(=O)N12,1.0
