smiles,percent_inhibition,leaked
C#CCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1,12.0,False
C/C=C(\C)C(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)OC,39.0,False
C/C=C/C(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)OC,20.0,False
C=CCOc1ccccc1/C=C1\Oc2c(OC)cccc2C1=O,47.8,False
C=CCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,37.5,False
CC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(=O)O,62.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)/C=C(/C)C(F)(F)F)C(=O)N[C@@H](C)C(=O)O,33.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)C=C(C)C)C(=O)N[C@@H](C)C(=O)O,95.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)CC(C)C)C(=O)N[C@@H](C)C(=O)O,94.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=S)CC(C)C)C(=O)N[C@@H](C)C(=O)O,100.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O,100.0,False
CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=[Se])C(=O)N[C@@H](C)C(=O)O,100.0,False
CC(=O)Nc1ncc(C)s1,10.0,False
CC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,10.0,False
CC(=O)Oc1ccc2occ(C(=O)c3ccccc3)c2c1,0.17,False
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(C#N)cc3)c2)cc1,15.0,False
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(Cl)cc3)c2)cc1,2.5,False
CC(=O)c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)Nc3ccc(Cl)cn3)c2)cc1,11.0,False
CC(=O)c1ccc(NC(=O)c2ccc(Oc3ccccc3)cc2)cc1,36.12,False
CC(=O)c1ccc(NC(=O)c2cccc(S(=O)(=O)N(C)c3ccc(C(C)=O)cc3)c2)cc1,5.0,False
CC(=S)NCCCC[C@H](N)C(=O)N[C@@H](C)C(=O)O,46.9,False
CC(=S)NCCCC[C@H](NC(=O)CCCCCCc1ccccc1)C(=O)NCc1ccccc1,99.0,False
CC(=S)NCCCC[C@H](NC(=O)CCCCCc1ccccc1)C(=O)NCC(=O)c1ccccc1,98.0,False
CC(=S)NCCCC[C@H](NC(=O)CCCCCc1ccccc1)C(=O)NCc1ccccc1,100.0,False
CC(=S)NCCCC[C@H](NC(=O)CCCc1ccccc1)C(=O)NCC(=O)c1ccccc1,98.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)NCC(=O)c1ccccc1,96.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1)C(=O)Nc1cccnc1,83.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1F)C(=O)Nc1cccnc1,94.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1cccnc1)C(=O)NCC(=O)c1ccccc1,95.0,False
CC(=S)NCCCC[C@H](NC(=O)CCc1cccnc1)C(=O)Nc1ccccc1,82.0,False
CC(=S)NCCCC[C@H](NC(=O)CN(C)C)C(=O)Nc1ccccc1,62.0,False
CC(=S)NCCCC[C@H](NC(=O)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC1=O)C(=O)NCC(=O)c1ccccc1,96.0,False
CC(=S)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)c1ccccc1,91.0,False
CC(=S)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCCc1cccnc1,41.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,97.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(N)=O,91.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(O)c1ccccc1,77.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,87.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCc1c[nH]c2ccccc12,85.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCc1ccccc1,72.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCc1ccccc1,91.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(N)=O,96.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(C)C,5.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,83.0,False
CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccnc1,84.0,False
